country_code,lat,lon
AD,42.5063174,1.5218355
AE,24.453884,54.3773438
AF,34.5553494,69.207486
AG,17.1274104,-61.846772
AL,41.3275459,19.8186982
AM,40.1791857,44.4991029
AO,-8.8399876,13.2894368
AR,-34.6036844,-58.3815591
AT,48.2081743,16.3738189
AU,-35.308129,149.124402
AZ,40.4092617,49.8670924
BA,43.8562586,18.4130763
BB,13.0968511,-59.6144819
BD,23.810332,90.4125181
BE,50.8503463,4.3517211
BF,12.3714277,-1.5196603
BG,42.6977082,23.3218675
BH,26.2285161,50.5860497
BI,-3.361378,29.3598782
BJ,6.4968574,2.6288523
BN,4.9030522,114.939821
BO,-16.489689,-68.1192936
BR,-15.794392,-47.882004
BS,25.0479835,-77.355413
BT,27.4727924,89.6392863
BW,-24.6282079,25.9231471
BY,53.9045398,27.5615244
BZ,17.2510114,-88.7590201
CA,45.4215296,-75.6971931
CD,-4.4419311,15.2662931
CF,4.3946735,18.5581899
CG,-4.2633597,15.2428853
CH,46.9479739,7.4474468
CI,6.8276228,-5.2893433
CK,-21.2129007,-159.7823059
CL,-33.4488897,-70.6692655
CM,3.8480325,11.5020752
CN,39.9041999,116.4073963
CO,4.7109886,-74.072092
CR,9.9280694,-84.0907246
CU,23.1135925,-82.3665956
CV,14.93305,-23.5133267
CY,35.1855659,33.3822764
CZ,50.0755381,14.4378005
DE,52.5200066,13.404954
DJ,11.5720765,43.1456475
DK,55.6760968,12.5683372
DM,15.3091676,-61.3793554
DO,18.4860575,-69.9312117
DZ,36.753768,3.0587561
EC,-0.1806532,-78.4678382
EE,59.4369608,24.7535747
EG,30.0444196,31.2357116
ER,15.3228767,38.9250517
ES,40.4167754,-3.7037902
ET,8.9806034,38.7577605
FI,60.1698557,24.9383791
FJ,-18.1248086,178.4500789
FM,6.9147118,158.1610274
FR,48.856614,2.3522219
GA,0.4161976,9.4672676
GB,51.5073509,-0.1277583
GD,12.0560975,-61.7487996
GE,41.7151377,44.827096
GH,5.6037168,-0.1869644
GM,13.4548761,-16.5790323
GN,9.6411855,-13.5784012
GQ,3.7504118,8.7371039
GR,37.9838096,23.7275388
GT,14.6349149,-90.5068824
GW,11.8816553,-15.6177942
GY,6.8012793,-58.1551255
HN,14.0722751,-87.192136
HR,45.8150108,15.9819189
HT,18.594395,-72.3074326
HU,47.497912,19.040235
ID,-6.2087634,106.845599
IE,53.3498053,-6.2603097
IL,31.768319,35.21371
IN,28.6139391,77.2090212
IQ,33.3128057,44.3614875
IR,35.6891975,51.3889736
IS,64.1265206,-21.8174392
IT,41.9027835,12.4963655
JM,18.0178743,-76.8099041
JO,31.9453666,35.9283716
JP,35.7090259,139.7319925
KE,-1.2920659,36.8219462
KG,42.8746212,74.5697617
KH,11.5563738,104.9282099
KI,1.4518171,172.9716617
KM,-11.7172157,43.2473146
KN,17.3026058,-62.7176924
KO,21.1655,42.6629
KP,39.0392193,125.7625241
KR,37.552361,126.991432
KS,42.6629138,21.1655028
KW,29.375859,47.9774052
KZ,51.1605227,71.4703558
LA,17.9757058,102.6331035
LB,33.8937913,35.5017767
LC,14.0101094,-60.9874687
LI,47.1410303,9.5209277
LK,6.8867616,79.9187142
LR,6.2907432,-10.7605239
LS,-29.3150767,27.4869229
LT,54.6871555,25.2796514
LU,49.611621,6.1319346
LV,56.9496487,24.1051865
LY,32.8872094,13.1913383
MA,33.9715904,-6.8498129
MC,43.737247,7.420681
MD,47.0104529,28.8638102
ME,42.4304196,19.2593642
MG,-18.8791902,47.5079055
MH,7.1164214,171.1857736
MK,41.9973462,21.4279956
ML,12.6392316,-8.0028892
MM,19.7633057,96.0785104
MN,47.8863988,106.9057439
MR,18.0735299,-15.9582372
MT,35.8989085,14.5145528
MU,-20.1608912,57.5012222
MV,4.1754959,73.5093474
MW,-13.9626121,33.7741195
MX,19.4326077,-99.133208
MY,3.139003,101.686855
MZ,-25.969248,32.5731746
NA,-22.5608807,17.0657549
NE,13.5115963,2.1253854
NG,9.0764785,7.398574
NI,12.1149926,-86.2361744
NL,52.3702157,4.8951679
NO,59.9138688,10.7522454
NP,27.7172453,85.3239605
NR,-0.5466857,166.9210913
NU,-19.0553711,-169.9178709
NZ,-41.2864603,174.776236
OM,23.58589,58.4059227
PA,8.9823792,-79.5198696
PE,-12.0463731,-77.042754
PG,-9.4438004,147.1802671
PH,14.5995124,120.9842195
PK,33.6844202,73.0478848
PL,52.2296756,21.0122287
PT,38.7222524,-9.1393366
PW,7.4951158,134.6336896
PY,-25.2637399,-57.575926
QA,25.2854473,51.5310398
RO,44.4267674,26.1025384
RS,44.786568,20.4489216
RU,55.755826,37.6172999
RW,-1.9705786,30.1044288
SA,24.7135517,46.6752957
SB,-9.4456381,159.9728999
SC,-4.619143,55.4513149
SD,15.5006544,32.5598994
SE,59.3293235,18.0685808
SG,1.355429,103.867722
SI,46.0569465,14.5057515
SK,48.1485965,17.1077478
SL,8.4656765,-13.2317225
SM,43.9355907,12.4472806
SN,14.716677,-17.4676861
SO,2.0469343,45.3181623
SR,5.8520355,-55.2038278
SS,4.859363,31.57125
ST,0.3301924,6.733343
SV,13.6929403,-89.2181911
SY,33.5138073,36.2765279
SZ,-26.3054482,31.1366715
TD,12.1348457,15.0557415
TG,6.1724969,1.2313618
TH,13.7563309,100.5017651
TJ,38.5597722,68.7870384
TL,-8.5568557,125.5603143
TM,37.9600766,58.3260629
TN,36.8064948,10.1815316
TO,-21.1393418,-175.204947
TR,39.9333635,32.8597419
TT,10.6549013,-61.5019256
TV,-8.5211471,179.1961926
TW,25.0329694,121.5654177
TZ,-6.162959,35.7516069
UA,50.4501,30.5234
UG,0.3475964,32.5825197
US,38.9071923,-77.0368707
UY,-34.9011127,-56.1645314
UZ,41.2994958,69.2400734
VA,41.902916,12.453389
VC,13.1600249,-61.2248157
VE,10.4805937,-66.9036063
VN,21.0277644,105.8341598
VU,-17.7332512,168.3273245
WS,-13.8506958,-171.7513551
YE,15.3694451,44.1910066
ZA,-25.7478676,28.2292712
ZM,-15.3875259,28.3228165
ZW,-17.8251657,31.03351